date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-06-22,5.78,5.94,5.98,5.74,3856864,2275105402.00,4.15,2.77,0.16,0.18
2026-06-23,5.94,6.14,6.18,5.92,3870642,2361841406.00,4.38,3.37,0.20,0.18
2026-06-24,6.15,6.02,6.20,6.00,3286799,1999414297.00,3.26,-1.95,-0.12,0.16
2026-06-25,5.90,5.79,6.03,5.78,3780288,2222922055.00,4.15,-3.82,-0.23,0.18
2026-06-26,5.79,5.76,5.89,5.75,3247485,1886108961.00,2.42,-0.52,-0.03,0.15
2026-06-29,5.75,5.80,5.82,5.62,3291220,1891600857.00,3.47,0.69,0.04,0.16
2026-06-30,5.76,5.72,5.78,5.57,4005579,2263814421.00,3.62,-1.38,-0.08,0.19
2026-07-01,5.67,5.65,5.72,5.64,2007286,1137957517.00,1.40,-1.22,-0.07,0.10
2026-07-02,5.66,5.58,5.75,5.53,2935500,1649631585.00,3.89,-1.24,-0.07,0.14
2026-07-03,5.58,5.56,5.63,5.51,2431256,1352124886.00,2.15,-0.36,-0.02,0.12
2026-07-06,5.54,5.64,5.65,5.51,2268826,1267772794.00,2.52,1.44,0.08,0.11
2026-07-07,5.63,5.78,5.81,5.62,3276426,1877899336.00,3.37,2.48,0.14,0.16
2026-07-08,5.77,5.92,5.94,5.71,3329104,1956234914.00,3.98,2.42,0.14,0.16
2026-07-09,5.89,5.83,5.90,5.79,3033577,1769407959.00,1.86,-1.52,-0.09,0.14
2026-07-10,5.71,5.79,5.81,5.68,2657872,1529200991.00,2.23,-0.69,-0.04,0.13
2026-07-13,5.78,5.92,5.94,5.75,3842445,2259211615.00,3.28,2.25,0.13,0.18
2026-07-14,5.88,5.87,5.90,5.79,3016347,1763745625.00,1.86,-0.84,-0.05,0.14
2026-07-15,5.81,5.88,5.90,5.78,2576802,1505500517.00,2.04,0.17,0.01,0.12
2026-07-16,5.88,5.80,5.92,5.76,2437645,1419162134.00,2.72,-1.36,-0.08,0.12
2026-07-17,5.80,5.96,5.98,5.80,4701400,2778724512.00,3.10,2.76,0.16,0.22
2026-07-20,5.92,6.08,6.11,5.89,4632037,2792747562.00,3.69,2.01,0.12,0.22
2026-07-21,6.08,5.88,6.08,5.87,4346946,2591402585.00,3.45,-3.29,-0.20,0.21
2026-07-22,5.86,5.94,5.94,5.80,2877304,1691163811.00,2.38,1.02,0.06,0.14
2026-07-23,5.91,5.97,6.01,5.90,2128627,1269172404.00,1.85,0.51,0.03,0.10
2026-07-24,5.99,6.01,6.04,5.97,2564233,1539131120.00,1.17,0.67,0.04,0.12
2026-07-27,6.03,6.00,6.07,5.97,2522770,1518549669.00,1.66,-0.17,-0.01,0.12
2026-07-28,6.03,6.10,6.12,6.00,2999879,1820254841.00,2.00,1.67,0.10,0.14
2026-07-29,6.10,6.01,6.11,6.00,3236977,1955857683.00,1.80,-1.48,-0.09,0.15
2026-07-30,5.99,6.14,6.14,5.98,3479211,2114628097.00,2.66,2.16,0.13,0.17
2026-07-31,6.02,6.06,6.06,5.87,5367254,3189065787.00,3.09,-1.30,-0.08,0.25
2026-08-03,6.00,6.03,6.07,5.93,3356428,2010099972.00,2.31,-0.50,-0.03,0.16
2026-08-04,5.98,5.82,5.99,5.81,3962925,2319580781.00,2.99,-3.48,-0.21,0.19
2026-08-05,5.80,5.73,5.81,5.70,3567757,2045361649.00,1.89,-1.55,-0.09,0.17
2026-08-06,5.75,5.79,5.81,5.70,2984613,1718744020.00,1.92,1.05,0.06,0.14
2026-08-07,5.78,5.77,5.82,5.72,2376158,1369560691.00,1.73,-0.35,-0.02,0.11
2026-08-10,5.76,5.82,5.86,5.75,2628532,1530361003.00,1.91,0.87,0.05,0.12
2026-08-11,5.83,5.88,5.88,5.82,1982152,1161820195.00,1.03,1.03,0.06,0.09
2026-08-12,5.87,5.83,5.88,5.79,2302081,1342420503.00,1.53,-0.85,-0.05,0.11
2026-08-13,5.82,5.95,5.95,5.81,2903367,1712690395.00,2.40,2.06,0.12,0.14
2026-08-14,5.93,5.88,5.95,5.87,1974052,1166287000.00,1.34,-1.18,-0.07,0.09
2026-08-17,5.88,5.90,5.92,5.86,1575295,928116806.00,1.02,0.34,0.02,0.07
2026-08-18,5.89,6.03,6.03,5.88,3310334,1978698793.00,2.54,2.20,0.13,0.16
2026-08-19,6.02,6.08,6.11,6.01,3625068,2202170992.00,1.66,0.83,0.05,0.17
2026-08-20,6.03,6.05,6.07,6.00,2178135,1315052013.00,1.15,-0.49,-0.03,0.10
2026-08-21,6.03,6.05,6.09,6.02,1938127,1173944187.00,1.16,0.00,0.00,0.09
2026-08-24,6.04,6.13,6.16,6.03,2703970,1655896785.00,2.15,1.32,0.08,0.13
2026-08-25,6.14,6.14,6.20,6.11,2524132,1552663831.00,1.47,0.16,0.01,0.12
2026-08-26,6.12,6.20,6.23,6.11,2607586,1613541665.00,1.95,0.98,0.06,0.12
2026-08-27,6.18,6.14,6.21,6.09,2555353,1570442821.00,1.94,-0.97,-0.06,0.12
2026-08-28,6.12,6.19,6.23,6.09,2283440,1411406150.00,2.28,0.81,0.05,0.11
