date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-05-21,77.00,77.77,80.75,77.00,667756,5285435684.00,4.89,1.32,1.01,2.77
2026-05-22,77.87,78.99,79.36,76.30,494643,3871943450.00,3.93,1.57,1.22,2.05
2026-05-25,79.40,78.83,79.86,76.90,428187,3361624217.00,3.75,-0.20,-0.16,1.78
2026-05-26,79.35,80.88,84.05,79.22,710027,5800216281.00,6.13,2.60,2.05,2.95
2026-05-27,79.85,78.10,80.43,77.79,508292,4018721157.00,3.26,-3.44,-2.78,2.11
2026-05-28,78.00,76.95,78.10,75.28,416910,3189689253.00,3.61,-1.47,-1.15,1.73
2026-05-29,77.15,73.96,78.25,73.40,408773,3075655754.00,6.30,-3.89,-2.99,1.70
2026-06-01,74.00,74.50,76.44,73.00,447637,3353312783.00,4.65,0.73,0.54,1.86
2026-06-02,74.96,76.47,77.74,74.88,364504,2788552323.00,3.84,2.64,1.97,1.51
2026-06-03,76.24,75.86,77.83,75.30,420151,3214641825.00,3.31,-0.80,-0.61,1.74
2026-06-04,75.60,74.15,77.46,74.03,368881,2788643885.00,4.52,-2.25,-1.71,1.53
2026-06-05,74.48,75.08,77.63,72.14,531795,3978154953.00,7.40,1.25,0.93,2.21
2026-06-08,73.00,74.52,77.28,72.72,568074,4264990301.00,6.07,-0.75,-0.56,2.36
2026-06-09,76.33,74.60,76.75,73.75,430234,3216060255.00,4.03,0.11,0.08,1.78
2026-06-10,73.50,70.10,73.71,69.51,534487,3804985207.00,5.63,-6.03,-4.50,2.22
2026-06-11,69.62,69.21,70.50,68.64,328081,2281559335.00,2.65,-1.27,-0.89,1.36
2026-06-12,69.50,67.16,70.66,67.16,510820,3505782742.00,5.06,-2.96,-2.05,2.12
2026-06-15,69.00,69.30,69.77,68.01,341894,2362496635.00,2.62,3.19,2.14,1.42
2026-06-16,69.30,70.24,72.21,69.02,333738,2359469907.00,4.60,1.36,0.94,1.38
2026-06-17,69.35,69.75,69.81,68.18,307406,2115825445.00,2.32,-0.70,-0.49,1.28
2026-06-18,69.58,71.18,72.36,69.25,390188,2763086830.00,4.46,2.05,1.43,1.62
2026-06-22,71.25,68.95,71.40,66.83,509941,3499825988.00,6.42,-3.13,-2.23,2.12
2026-06-23,68.30,66.82,68.80,66.57,364751,2462103046.00,3.23,-3.09,-2.13,1.51
