date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-08-04,4.92,4.85,4.97,4.82,1212897,590412067.00,3.05,-1.42,-0.07,1.86
2026-08-05,4.85,4.80,4.85,4.73,1277598,611117659.00,2.47,-1.03,-0.05,1.96
2026-08-06,4.80,4.73,4.80,4.66,1152732,543550567.00,2.92,-1.46,-0.07,1.77
2026-08-07,4.70,4.72,4.72,4.65,988692,463139104.00,1.48,-0.21,-0.01,1.51
2026-08-10,4.72,4.71,4.74,4.66,838298,393590676.00,1.69,-0.21,-0.01,1.28
2026-08-11,4.71,5.18,5.18,4.68,2184321,1102493069.00,10.62,9.98,0.47,3.35
2026-08-12,5.18,5.10,5.29,5.05,3113359,1595775001.00,4.63,-1.54,-0.08,4.77
2026-08-13,5.11,5.01,5.25,5.00,2526606,1275244311.00,4.90,-1.76,-0.09,3.87
2026-08-14,4.99,4.85,4.99,4.78,1650777,799229457.00,4.19,-3.19,-0.16,2.34
2026-08-17,4.81,4.89,4.90,4.76,1292914,625367144.00,2.89,0.82,0.04,1.83
2026-08-18,4.89,4.92,4.94,4.83,1338717,654716905.00,2.25,0.61,0.03,1.90
2026-08-19,4.91,4.74,4.93,4.71,1379352,659970507.00,4.47,-3.66,-0.18,1.95
2026-08-20,4.73,4.75,4.78,4.71,677845,321337493.00,1.48,0.21,0.01,0.96
2026-08-21,4.72,4.61,4.73,4.57,951695,440285058.00,3.37,-2.95,-0.14,1.35
2026-08-24,4.95,4.73,5.06,4.71,1663691,803366030.00,7.59,2.60,0.12,2.36
2026-08-25,4.63,4.67,4.72,4.58,1122775,520353802.00,2.96,-1.27,-0.06,1.59
2026-08-26,4.62,4.71,4.72,4.61,824186,385890946.00,2.36,0.86,0.04,1.17
2026-08-27,4.68,4.72,4.72,4.64,760694,356314730.00,1.70,0.21,0.01,1.08
2026-08-28,4.68,4.68,4.70,4.65,623305,291169828.00,1.06,-0.85,-0.04,0.88
