date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-06-10,9.90,10.10,10.19,9.82,1980740,1978898881.00,3.65,-0.49,-0.05,1.50
2026-06-11,10.00,10.33,10.40,9.95,2101339,2151721082.00,4.46,2.28,0.23,1.60
2026-06-12,10.47,10.80,11.04,10.35,3859744,4149957535.00,6.68,4.55,0.47,2.93
2026-06-15,10.98,10.67,11.07,10.41,4059381,4348846899.00,6.11,-1.20,-0.13,3.08
2026-06-16,10.38,10.07,10.39,10.01,4122704,4203230129.00,3.56,-5.62,-0.60,3.13
2026-06-17,10.05,9.97,10.11,9.88,2360020,2355830659.00,2.28,-0.99,-0.10,1.79
2026-06-18,9.87,9.38,9.99,9.31,4313581,4138194284.00,6.82,-5.92,-0.59,3.27
2026-06-22,9.36,9.86,9.89,9.33,4046685,3895140082.00,5.97,5.12,0.48,3.07
2026-06-23,9.77,9.09,9.79,9.08,3901834,3649139124.00,7.20,-7.81,-0.77,2.96
2026-06-24,9.00,9.09,9.15,8.92,2430553,2195346093.00,2.53,0.00,0.00,1.84
2026-06-25,8.88,8.80,8.92,8.71,3329091,2928211607.00,2.31,-3.19,-0.29,2.52
2026-06-26,8.87,8.40,8.87,8.33,2899069,2463992087.00,6.14,-4.55,-0.40,2.20
2026-06-29,8.40,8.54,8.60,8.26,2458353,2076746934.00,4.05,1.67,0.14,1.86
2026-06-30,8.30,8.22,8.38,8.11,2948305,2414368465.00,3.16,-3.75,-0.32,2.23
2026-07-01,8.13,8.20,8.35,8.00,2739221,2238549037.00,4.26,-0.24,-0.02,2.07
2026-07-02,8.20,8.17,8.37,8.08,2825378,2323046009.00,3.54,-0.37,-0.03,2.14
2026-07-03,8.33,8.33,8.54,8.28,3211893,2692929405.00,3.18,1.96,0.16,2.43
2026-07-06,8.41,8.48,8.70,8.41,3131334,2678591411.00,3.48,1.80,0.15,2.37
2026-07-07,8.40,8.26,8.48,8.22,1941678,1617220120.00,3.07,-2.59,-0.22,1.47
2026-07-08,8.30,8.18,8.34,8.15,1531995,1261847669.00,2.30,-0.97,-0.08,1.16
2026-07-09,8.16,8.10,8.19,7.81,2579429,2063618276.00,4.65,-0.98,-0.08,1.95
2026-07-10,8.18,8.35,8.55,8.11,2944248,2456801767.00,5.43,3.09,0.25,2.23
2026-07-13,8.20,8.11,8.30,8.07,2011945,1640440312.00,2.75,-2.87,-0.24,1.52
2026-07-14,8.29,8.86,8.92,8.13,5561334,4774370725.00,9.74,9.25,0.75,4.21
2026-07-15,8.69,8.98,9.12,8.67,4794453,4283258214.00,5.08,1.35,0.12,3.63
2026-07-16,8.80,8.68,8.99,8.60,2826220,2483323020.00,4.34,-3.34,-0.30,2.14
2026-07-17,8.62,8.44,8.70,8.33,2540894,2154489263.00,4.26,-2.76,-0.24,1.92
2026-07-20,8.61,9.17,9.26,8.53,5015501,4494813122.00,8.65,8.65,0.73,3.80
2026-07-21,9.17,9.16,9.30,8.93,4035872,3680455784.00,4.03,-0.11,-0.01,3.06
2026-07-22,9.09,9.43,9.56,9.09,3579788,3362012924.00,5.13,2.95,0.27,2.71
2026-07-23,9.41,9.78,9.97,9.22,4362154,4228515916.00,7.95,3.71,0.35,3.30
2026-07-24,9.59,9.44,9.78,9.30,3133130,2970812182.00,4.91,-3.48,-0.34,2.37
2026-07-27,9.43,9.38,9.43,9.23,2080392,1938949183.00,2.12,-0.64,-0.06,1.58
2026-07-28,9.22,9.36,9.42,9.10,2471454,2288626834.00,3.41,-0.21,-0.02,1.87
2026-07-29,9.49,9.52,9.58,9.38,2244032,2133518915.00,2.14,1.71,0.16,1.70
2026-07-30,9.55,9.55,9.87,9.51,2522519,2434851444.00,3.78,0.32,0.03,1.91
2026-07-31,9.51,9.57,9.71,9.48,2329965,2239509017.00,2.41,0.21,0.02,1.76
2026-08-03,9.50,9.48,9.60,9.36,1791369,1693716901.00,2.51,-0.94,-0.09,1.36
2026-08-04,9.56,9.58,9.65,9.50,1632386,1563339837.00,1.58,1.05,0.10,1.24
2026-08-05,9.52,9.77,9.80,9.50,2417963,2343840891.00,3.13,1.98,0.19,1.83
2026-08-06,9.86,9.61,9.90,9.47,2682148,2595830281.00,4.40,-1.64,-0.16,2.03
2026-08-07,9.59,9.85,9.87,9.58,2283168,2229396184.00,3.02,2.50,0.24,1.73
2026-08-10,10.00,10.05,10.11,9.87,2278830,2279671220.00,2.44,2.03,0.20,1.73
2026-08-11,10.15,9.82,10.40,9.77,3284160,3310441468.00,6.27,-2.29,-0.23,2.49
2026-08-12,9.97,9.94,10.25,9.90,2942430,2961223908.00,3.56,1.22,0.12,2.23
2026-08-13,9.76,9.38,9.77,9.36,3265295,3110640326.00,4.12,-5.63,-0.56,2.47
2026-08-14,9.11,9.26,9.29,9.09,1281113,1177906907.00,2.13,-1.28,-0.12,0.97
2026-08-17,9.35,9.54,9.56,9.25,1731125,1630251334.00,3.35,3.02,0.28,1.31
2026-08-18,9.44,9.45,9.56,9.37,1402858,1324137825.00,1.99,-0.94,-0.09,1.06
2026-08-19,9.27,9.35,9.41,9.22,1314933,1225695376.00,2.01,-1.06,-0.10,1.00
2026-08-20,9.42,9.17,9.67,9.12,1998268,1864989167.00,5.88,-1.93,-0.18,1.51
2026-08-21,9.12,9.42,9.42,9.11,1771316,1650187727.00,3.38,2.73,0.25,1.34
2026-08-24,9.50,9.50,9.55,9.36,1581065,1495816988.00,2.02,0.85,0.08,1.20
