date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-07-27,145.65,148.56,149.28,145.50,67987,1008862643.00,2.58,1.49,2.18,0.56
2026-07-28,148.66,150.54,152.10,147.93,89110,1336911226.00,2.81,1.33,1.98,0.74
2026-07-29,151.00,154.88,155.65,150.58,133535,2055926844.00,3.37,2.88,4.34,1.10
2026-07-30,155.00,161.62,162.00,154.25,177697,2840604819.00,5.00,4.35,6.74,1.47
2026-07-31,158.37,158.88,159.83,157.60,112421,1784601638.00,1.38,-1.70,-2.74,0.93
2026-08-03,158.94,156.89,159.49,156.64,69364,1092508767.00,1.79,-1.25,-1.99,0.57
2026-08-04,156.88,154.27,157.57,153.99,112319,1739626243.00,2.28,-1.67,-2.62,0.93
2026-08-05,154.99,154.30,155.03,152.95,82153,1265406204.00,1.35,0.02,0.03,0.68
2026-08-06,154.32,149.75,154.99,149.62,120380,1819952752.00,3.48,-2.95,-4.55,0.99
2026-08-07,149.01,151.41,151.41,148.37,105139,1575644696.00,2.03,1.11,1.66,0.87
2026-08-10,152.00,155.58,157.52,151.86,140125,2176826515.00,3.74,2.75,4.17,1.16
2026-08-11,154.86,153.49,155.96,153.28,90603,1399453331.00,1.72,-1.34,-2.09,0.75
2026-08-12,153.20,153.60,155.18,152.70,64075,984542038.00,1.62,0.07,0.11,0.53
2026-08-13,152.80,153.39,155.74,151.20,91709,1409082615.00,2.96,-0.14,-0.21,0.76
2026-08-14,153.45,150.47,154.47,150.13,65278,991158548.00,2.83,-1.90,-2.92,0.54
2026-08-17,149.96,149.71,150.28,147.39,69786,1039861666.00,1.92,-0.51,-0.76,0.58
2026-08-18,149.12,150.55,150.79,148.32,59357,888405088.00,1.65,0.56,0.84,0.49
2026-08-19,151.20,150.63,151.65,149.08,66809,1004670637.00,1.71,0.05,0.08,0.55
2026-08-20,152.00,158.07,159.69,151.28,163235,2568635096.00,5.58,4.94,7.44,1.35
2026-08-21,158.00,154.45,159.00,153.89,79711,1240797633.00,3.23,-2.29,-3.62,0.66
2026-08-24,154.00,158.68,158.97,153.01,118995,1874049703.00,3.86,2.74,4.23,0.98
2026-08-25,158.47,162.12,162.66,158.03,119545,1924303290.68,2.92,2.17,3.44,0.99
