date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-18,152108,7418.0,109733,5329.7,126558,6157.6,53133,2586.2,41882,2038.7,286800,14086.2,80025,3919.4,53205,2602.7,85637,4187.5,25118,1223.8,55146,2703.7,44829,2199.5,30713,1504.5,26782,1313.1,47067,2308.8,119980,5892.4,1338717,65471.7,4.89,4.92
2026-08-19,328023,15879.9,132635,6355.2,112481,5392.4,98005,4676.0,43208,2066.7,30459,1455.2,73675,3506.8,59316,2811.3,49953,2372.7,44146,2091.1,51590,2440.3,32059,1515.0,100756,4792.7,36928,1764.8,76342,3641.9,87780,4178.5,1357356,64940.5,4.91,4.74
2026-08-20,128121,6085.4,52931,2519.6,48016,2279.0,59349,2806.7,47477,2246.4,28725,1363.7,17994,853.1,10739,508.3,16454,779.1,21418,1013.4,49615,2342.5,22165,1048.1,20374,962.8,29985,1420.5,39997,1898.8,84484,4006.2,677844,32133.7,4.73,4.75
2026-08-21,211328,9847.7,63688,2974.0,177426,8205.1,106657,4903.9,44316,2045.3,21708,1003.4,21454,989.9,16864,778.1,57741,2658.0,14139,650.9,20714,954.7,16091,741.2,30320,1396.4,21002,969.6,37517,1731.1,87910,4049.0,948874,43898.5,4.72,4.61
2026-08-24,937537,45817.0,155563,7457.6,103676,4933.7,60812,2904.1,45071,2140.8,34918,1656.2,26410,1253.0,25702,1219.3,36278,1723.6,18838,892.2,26062,1232.4,28414,1340.6,22128,1045.0,19470,921.4,46533,2198.0,76224,3599.1,1663637,80334.0,4.95,4.73
2026-08-25,387121,17843.2,94632,4378.9,59003,2749.5,63649,2956.0,35556,1644.9,45520,2100.1,46376,2137.2,23335,1077.4,58811,2733.6,38700,1802.5,16303,758.4,17032,792.4,29519,1375.9,17983,839.0,29365,1370.1,159674,7467.0,1122579,52026.3,4.63,4.67
2026-08-26,95629,4428.8,86058,4002.4,62694,2921.2,47334,2209.9,44820,2097.7,64767,3036.7,39415,1854.7,24230,1135.7,46411,2173.8,77459,3647.4,32295,1518.7,37593,1771.1,29927,1409.6,34585,1629.0,33233,1564.4,66983,3152.6,823433,38553.6,4.62,4.71
2026-08-27,148912,6931.7,65359,3036.5,54147,2522.0,35259,1645.5,35444,1658.4,25458,1191.8,28778,1347.8,23129,1083.9,34167,1603.2,43642,2055.4,30058,1415.7,37627,1772.8,24734,1164.6,31074,1462.6,61283,2890.3,81598,3848.3,760670,35630.3,4.68,4.72
2026-08-28,140750,6580.4,71389,3327.9,50511,2357.6,34158,1595.5,55663,2593.8,22980,1071.0,10260,478.3,11497,536.1,20138,939.0,24556,1147.5,26695,1248.2,9169,429.6,19814,927.6,15943,746.3,48423,2267.0,60789,2844.5,622734,29090.3,4.68,4.68
2026-08-31,154774,7187.7,109146,5034.2,40173,1853.3,23115,1068.3,24808,1146.6,43527,2006.4,23550,1085.3,11868,547.9,22312,1029.4,40764,1882.3,18614,860.7,17478,807.3,16238,749.4,34434,1591.4,42390,1962.1,88869,4103.1,712060,32915.4,4.69,4.61
2026-09-01,91808,4246.2,63760,2953.0,256371,11991.0,76996,3614.4,50246,2354.0,21491,1006.3,47249,2214.5,20329,954.6,21861,1025.1,51241,2400.0,8104,379.6,15745,736.4,73156,3430.5,125614,5921.2,45043,2124.4,72888,3437.2,1041902,48788.4,4.61,4.72
