date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-17,44245,2601.4,20983,1237.2,15565,917.3,16223,953.0,13991,821.1,9900,580.8,8863,521.6,16071,948.5,16139,950.1,11855,699.6,14060,830.3,9640,570.0,12057,712.7,12393,733.3,17356,1025.8,20812,1230.0,260154,15332.7,5.92,5.92
2026-08-18,36732,2166.1,32778,1930.4,17616,1038.5,11059,651.8,18873,1110.1,13055,768.3,9778,574.0,16808,983.6,11366,666.6,13340,781.6,16233,952.4,14581,855.0,12354,724.0,19356,1135.4,21423,1255.8,17879,1048.9,283231,16642.4,5.91,5.86
2026-08-19,38266,2256.5,40437,2406.7,12876,767.2,21965,1308.7,10100,600.8,9363,556.8,11435,682.7,13073,781.9,14270,853.2,13129,782.4,7309,435.5,9158,546.5,21070,1259.0,25725,1540.5,36573,2193.6,36303,2178.1,321051,19150.3,5.89,6.0
2026-08-20,44944,2699.5,21615,1293.8,21623,1287.8,15635,935.7,13885,828.3,9782,580.9,7379,438.7,14688,873.4,10375,617.7,10536,627.9,9232,550.8,5703,340.6,12230,732.8,13807,828.4,16883,1013.2,18729,1124.4,247046,14774.0,5.97,6.01
2026-08-21,22974,1374.1,24002,1428.2,16866,1000.1,14633,865.1,4347,257.6,9060,535.6,10936,645.5,6919,408.3,17459,1028.1,12313,725.0,8792,519.5,5080,300.5,9141,540.9,7793,460.9,12501,738.7,17899,1056.9,200714,11885.1,6.01,5.9
2026-08-24,47921,2842.9,31561,1875.8,21358,1269.8,13044,777.5,10882,647.6,17249,1029.2,15910,949.4,11557,690.0,11711,700.0,6816,407.8,12463,745.8,6173,369.5,11301,677.2,5937,355.7,18313,1098.6,22752,1363.0,264947,15800.0,5.89,5.98
2026-08-25,32270,1940.4,25175,1512.5,20319,1223.6,15260,916.1,15028,904.9,8530,512.9,10095,607.2,11415,687.3,19746,1186.8,8324,500.1,10654,641.0,7197,433.7,11557,696.7,18830,1132.5,12310,741.3,22571,1362.0,249282,14999.1,5.99,6.04
2026-08-26,27912,1680.6,21337,1292.0,18634,1132.4,6332,384.7,14802,898.7,5841,354.7,4726,286.9,6341,384.5,7346,444.1,8553,518.8,6603,400.9,12451,753.9,8666,523.4,21635,1300.2,23297,1396.9,21432,1287.5,215908,13040.3,6.01,6.01
2026-08-27,28168,1686.5,20882,1247.7,12100,724.4,15564,928.2,13101,779.5,10672,634.5,7598,452.4,11764,698.8,7334,436.7,13282,793.2,10886,649.3,12812,762.1,6741,402.0,9802,585.1,14999,896.4,27157,1623.0,222863,13299.8,6.02,5.97
2026-08-28,39337,2332.7,22985,1359.6,16679,987.5,13959,826.9,11425,676.7,10338,614.6,10123,603.7,20593,1231.3,7341,439.0,9320,557.2,7965,476.9,10453,624.5,7618,454.2,7596,452.4,14791,879.4,25478,1512.5,236001,14029.0,5.98,5.95
2026-08-31,124234,7392.7,60309,3556.6,21370,1265.8,38308,2261.2,29070,1721.1,14687,870.5,11933,706.7,16245,963.5,24747,1468.1,13661,810.8,10644,630.6,16812,995.6,12447,736.8,21293,1261.0,16752,994.0,36464,2164.1,468976,27799.1,5.97,5.95
