紫金矿业 异动预警  数据区间 2026-08-03 ~ 2026-08-31  共127条
[2026-08-07] [中] 跳变            14:15  同槽较前日+61.9% (85,946->139,126手)
[2026-08-06] [高] 跳变            09:45  同槽较前日+137.6% (628,213->1,492,780手)
[2026-08-06] [中] 跳变            10:30  同槽较前日-57.9% (440,516->185,629手)
[2026-08-06] [中] 跳变            13:45  同槽较前日-62.6% (266,437->99,762手)
[2026-08-06] [中] 跳变            14:00  同槽较前日-73.0% (341,394->92,087手)
[2026-08-06] [中] 跳变            14:15  同槽较前日-60.0% (215,036->85,946手)
[2026-08-06] [高] 量价背离             全天  价跌-2.5%但量比达1.43
[2026-08-05] [中] 跳变            09:45  同槽较前日+71.2% (366,975->628,213手)
[2026-08-05] [中] 跳变            10:00  同槽较前日+94.8% (238,174->464,066手)
[2026-08-05] [高] 跳变            10:30  同槽较前日+199.4% (147,131->440,516手)
[2026-08-05] [高] 跳变            10:45  同槽较前日+254.1% (78,276->277,169手)
[2026-08-05] [中] 跳变            11:00  同槽较前日+84.9% (93,146->172,252手)
[2026-08-05] [中] 跳变            11:15  同槽较前日+83.8% (82,067->150,853手)
[2026-08-05] [中] 跳变            11:30  同槽较前日+61.1% (62,392->100,518手)
[2026-08-05] [中] 跳变            13:15  同槽较前日+68.4% (115,710->194,864手)
[2026-08-05] [高] 跳变            13:30  同槽较前日+124.3% (69,187->155,172手)
[2026-08-05] [高] 跳变            13:45  同槽较前日+236.6% (79,152->266,437手)
[2026-08-05] [高] 跳变            14:00  同槽较前日+285.4% (88,573->341,394手)
[2026-08-05] [高] 跳变            14:15  同槽较前日+179.0% (77,080->215,036手)
[2026-08-05] [中] 跳变            14:30  同槽较前日+71.9% (76,116->130,826手)
[2026-08-05] [中] 跳变            14:45  同槽较前日+73.6% (102,686->178,241手)
[2026-08-05] [中] 跳变            15:00  同槽较前日+81.4% (131,899->239,202手)
[2026-08-04] [中] 跳变            10:15  同槽较前日+82.2% (141,613->258,034手)
